Date;Time;Name;Code;
19.05.2026;09:00-11:00;Koulutus (yhteinen);KO;
19.05.2026;11:00-12:00;Koulutus (valvojat);KOV;
19.05.2026;11:00-12:00;Koulutus (tunnistajat);KOT;
19.05.2026;11:00-12:00;Koulutus (IT-valvojat);KOI;
19.05.2026;10:00-12:00;Koulutus (IT keskusta);KEI;
20.05.2026;12:30-15:00;Koulutus (valvojat keskusta);KEV;
20.05.2026;09:30-14:30;Oman väen koulutus;OMA;
21.05.2026;08:30-16:00;Messukeskuksen valmistelu;VAL;
22.05.2026;09:00-12:00;Messari demo;DE;
01.06.2026;10:00-14:00;Valintakoe A;A;
25.05.2026;14:00-18:30;Valintakoe B;B;
04.06.2026;09:00-12:00;Valintakoe C;C;
03.06.2026;14:00-17:30;Valintakoe D;D;
25.05.2026;09:00-12:00;Valintakoe E;E;
03.06.2026;09:00-12:00;Valintakoe F;F;
04.06.2026;14:00-18:00;Valintakoe G;G;
02.06.2026;10:00-14:00;Valintakoe H;H;
05.06.2026;10:00-15:00;Valintakoe I;I;
